,COUNTRY,Ban_Score
0,Afghanistan,7
1,Albania,8
2,Algeria,0
3,Andorra,0
4,Angola,0
5,Antigua and Barbuda,9
6,Argentina,10
7,Armenia,2
8,Australia,2
9,Austria,8
10,Azerbaijan,8
11,Bahamas,0
12,Bahrain,10
13,Bangladesh,5
14,Barbados,0
15,Belarus,4
16,Belgium,5
17,Belize,0
18,Benin,9
19,Bhutan,6
20,Bolivia (Plurinational State of),2
21,Bosnia and Herzegovina,2
22,Botswana,2
23,Brazil,7
24,Brunei Darussalam,5
25,Bulgaria,2
26,Burkina Faso,7
27,Burundi,5
28,Cabo Verde,2
29,Cambodia,1
30,Cameroon,2
31,Canada,5
32,Central African Republic,0
33,Chad,7
34,Chile,5
35,China,3
36,Colombia,8
37,Comoros,3
38,Congo,9
39,Cook Islands,8
40,Costa Rica,8
41,C̫te d'Ivoire,0
42,Croatia,9
43,Cuba,0
44,Cyprus,8
45,Czechia,4
46,Democratic People's Republic of Korea,0
47,Democratic Republic of the Congo,9
48,Denmark,5
49,Djibouti,10
50,Dominica,0
51,Dominican Republic,0
52,Ecuador,7
53,Egypt,7
54,El Salvador,6
55,Equatorial Guinea,0
56,Eritrea,9
57,Estonia,3
58,Eswatini,7
59,Ethiopia,6
60,Fiji,6
61,Finland,8
62,France,9
63,Gabon,4
64,Gambia,10
65,Georgia,9
66,Germany,3
67,Ghana,10
68,Greece,3
69,Grenada,0
70,Guatemala,4
71,Guinea,9
72,Guinea-Bissau,0
73,Guyana,10
74,Haiti,0
75,Honduras,0
76,Hungary,6
77,Iceland,7
78,India,8
79,Indonesia,4
80,Iran (Islamic Republic of),10
81,Iraq,4
82,Ireland,4
83,Israel,3
84,Italy,1
85,Jamaica,0
86,Japan,0
87,Jordan,2
88,Kazakhstan,4
89,Kenya,10
90,Kiribati,9
91,Kuwait,7
92,Kyrgyzstan,7
93,Lao People's Democratic Republic,4
94,Latvia,3
95,Lebanon,9
96,Lesotho,0
97,Liberia,0
98,Libya,10
99,Lithuania,8
100,Luxembourg,8
101,Madagascar,8
102,Malawi,0
103,Malaysia,5
104,Maldives,8
105,Mali,9
106,Malta,6
107,Marshall Islands,5
108,Mauritania,5
109,Mauritius,9
110,Mexico,7
111,Micronesia (Federated States of),0
112,Monaco,0
113,Mongolia,9
114,Montenegro,7
115,Morocco,4
116,Mozambique,3
117,Myanmar,3
118,Namibia,4
119,Nauru,5
120,Nepal,10
121,Netherlands,9
122,New Zealand,6
123,Nicaragua,0
124,Niger,9
125,Nigeria,10
126,Niue,7
127,North Macedonia,4
128,Norway,8
129,Oman,1
130,Pakistan,5
131,Palau,5
132,Panama,10
133,Papua New Guinea,6
134,Paraguay,7
135,Peru,0
136,Philippines,2
137,Poland,5
138,Portugal,7
139,Qatar,10
140,Republic of Korea,2
141,Republic of Moldova,9
142,Romania,3
143,Russian Federation,10
144,Rwanda,3
145,Saint Kitts and Nevis,0
146,Saint Lucia,0
147,Saint Vincent and the Grenadines,0
148,Samoa,4
149,San Marino,0
150,Sao Tome and Principe,0
151,Saudi Arabia,8
152,Senegal,9
153,Serbia,4
154,Seychelles,9
155,Sierra Leone,0
156,Singapore,4
157,Slovakia,5
158,Slovenia,9
159,Solomon Islands,5
160,Somalia,0
161,South Africa,7
162,South Sudan,0
163,Spain,9
164,Sri Lanka,7
165,Sudan,7
166,Suriname,9
167,Sweden,4
168,Switzerland,0
169,Syrian Arab Republic,7
170,Tajikistan,3
171,Thailand,6
172,Timor-Leste,5
173,Togo,10
174,Tonga,6
175,Trinidad and Tobago,3
176,Tunisia,6
177,Turkey,10
178,Turkmenistan,9
179,Tuvalu,7
180,Uganda,10
181,Ukraine,6
182,United Arab Emirates,10
183,United Kingdom of Great Britain and Northern Ireland,6
184,United Republic of Tanzania,3
185,United States of America,0
186,Uruguay,10
187,Uzbekistan,2
188,Vanuatu,7
189,Venezuela (Bolivarian Republic of),3
190,Viet Nam,7
191,West Bank and Gaza Strip,9
192,Yemen,7
193,Zambia,1
194,Zimbabwe,2
