,,"Daily tobacco smoking, age-standardised","Daily tobacco smoking, age-standardised","Daily tobacco smoking, age-standardised","Daily cigarette smoking, age-standardised","Daily cigarette smoking, age-standardised","Daily cigarette smoking, age-standardised","Current tobacco smoking, age-standardised","Current tobacco smoking, age-standardised","Current tobacco smoking, age-standardised","Current cigarette smoking, age-standardised","Current cigarette smoking, age-standardised","Current cigarette smoking, age-standardised"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Afghanistan","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Albania","2013","23.8","41.7","6.2","21.3","38.4","4.6","29.7","51.7","8.0","24.5","44.4","5.0"
"Algeria","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Andorra","2013","27.9","32.2","23.6","22.0","25.3","18.7","33.1","38.1","28.1","27.2","31.4","22.9"
"Angola","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Antigua and Barbuda","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Argentina","2013","18.1","22.2","14.3","17.3","21.4","13.5","25.3","31.0","19.9","22.9","28.2","18.0"
"Armenia","2013","24.7","48.1","1.3","22.7","44.2","1.1","28.0","54.2","1.7","26.2","50.8","1.5"
"Australia","2013","13.7","15.1","12.4","11.0","12.3","9.6","16.0","17.8","14.3","13.0","14.9","11.3"
"Austria","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Azerbaijan","2013","18.6","38.0","0.3","15.5","31.7","0.3","23.5","47.8","0.4","18.7","38.2","0.3"
"Bahamas","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bahrain","2013","27.1","38.5","5.9","21.2","31.9","1.4","30.3","42.7","7.1","25.3","37.6","2.3"
"Bangladesh","2013","19.6","38.1","0.8","12.5","24.5","0.3","21.8","42.4","0.9","15.2","29.8","0.3"
"Barbados","2013","5.0","9.3","0.7","3.8","7.1","0.5","7.0","13.1","1.0","5.4","10.2","0.8"
"Belarus","2013","22.6","40.7","7.6","21.1","38.4","6.7","27.9","48.2","10.9","25.6","44.3","10.0"
"Belgium","2013","19.7","22.6","16.9","15.5","17.4","13.7","23.9","27.5","20.5","19.8","22.5","17.2"
"Belize","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Benin","2013","7.4","14.2","0.8","4.6","9.0","0.2","8.8","16.9","1.0","5.0","9.9","0.2"
"Bhutan","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bolivia (Plurinational State of)","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bosnia and Herzegovina","2013","32.1","40.6","24.1","28.2","35.9","21.1","39.2","48.3","30.8","31.7","38.9","25.0"
"Botswana","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Brazil","2013","12.7","16.3","9.4","11.5","15.0","8.3","16.1","20.3","12.1","14.0","17.9","10.3"
"Brunei Darussalam","2013","12.9","23.2","2.5","10.5","18.9","1.9","16.4","29.2","3.3","13.2","23.4","2.7"
"Bulgaria","2013","30.0","37.5","23.1","27.1","33.6","21.0","36.8","44.3","29.8","33.7","40.6","27.2"
"Burkina Faso","2013","16.2","28.7","4.3","7.7","15.1","0.6","19.1","34.1","4.8","12.4","24.7","0.7"
"Burundi","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Cabo Verde","2013","9.7","16.6","2.8","6.1","11.4","0.9","12.2","20.8","3.7","7.9","14.9","1.1"
"Cambodia","2013","19.8","38.5","2.7","16.8","32.4","2.5","23.0","44.7","3.2","19.4","37.6","2.8"
"Cameroon","2013","13.6","26.8","0.6","9.8","19.5","0.2","18.8","36.9","0.9","11.4","22.6","0.4"
"Canada","2013","11.9","13.9","9.9","11.7","13.7","9.7","16.2","18.9","13.6","15.6","18.3","13.0"
"Central African Republic","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Chad","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Chile","2013","27.5","29.4","25.8","23.0","25.0","21.1","38.9","41.0","36.8","32.7","34.9","30.5"
"China","2013","22.4","42.0","1.6","20.4","38.5","1.3","25.9","48.7","1.9","23.7","44.6","1.7"
"Colombia","2013","8.1","11.8","4.6","5.7","8.7","2.9","11.6","16.8","6.6","9.5","13.8","5.5"
"Comoros","2013","12.5","20.1","5.0","6.3","10.9","1.7","15.3","23.8","6.7","11.9","19.3","4.5"
"Congo","2013","13.0","25.0","1.1","9.8","19.2","0.5","18.5","35.5","1.7","12.0","23.3","0.8"
"Cook Islands","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Costa Rica","2013","8.3","11.3","5.1","6.9","9.4","4.2","14.2","19.3","8.9","11.9","16.1","7.6"
"C̫te d'Ivoire","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Croatia","2013","31.1","34.9","27.6","24.7","28.9","20.8","36.0","39.5","32.7","28.9","32.0","26.0"
"Cuba","2013","23.4","33.2","13.7","21.0","30.8","11.3","36.1","53.1","19.1","28.5","42.2","14.8"
"Cyprus","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Czechia","2013","24.7","29.4","20.3","24.1","28.5","20.0","33.4","37.8","29.2","28.1","32.0","24.3"
"Democratic People's Republic of Korea","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Democratic Republic of the Congo","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Denmark","2013","15.6","16.2","14.9","11.5","11.6","11.4","18.9","19.9","18.0","15.8","15.9","15.6"
"Djibouti","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Dominica","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Dominican Republic","2013","11.3","14.7","8.0","8.9","11.6","6.2","14.5","19.0","10.0","10.4","13.6","7.2"
"Ecuador","2013","4.5","7.1","1.9","3.9","6.4","1.4","9.0","14.7","3.5","7.3","11.9","2.8"
"Egypt","2013","20.3","40.5","0.3","14.8","29.7","0.1","23.8","47.5","0.4","17.9","35.7","0.2"
"El Salvador","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Equatorial Guinea","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Eritrea","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Estonia","2013","26.1","35.7","18.1","23.6","32.2","16.5","33.2","42.8","25.3","27.2","35.3","20.5"
"Eswatini","2013","7.1","12.7","1.7","4.8","8.9","0.9","10.2","18.4","2.3","8.7","16.5","1.3"
"Ethiopia","2013","3.3","6.3","0.3","2.9","5.7","0.1","4.7","8.9","0.5","3.8","7.5","0.2"
"Fiji","2013","18.1","28.0","8.0","15.1","23.2","6.8","26.5","40.0","12.7","20.9","31.8","9.8"
"Finland","2013","16.8","19.3","14.5","13.6","14.8","12.4","21.8","24.6","19.3","16.9","18.8","15.1"
"France","2013","23.5","25.5","21.5","20.1","22.3","18.1","28.1","30.6","25.8","22.8","24.9","20.8"
"Gabon","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Gambia","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Georgia","2013","24.0","47.7","3.9","21.7","43.3","3.4","30.0","58.5","5.8","27.0","52.5","5.3"
"Germany","2013","24.2","27.6","21.0","23.1","25.9","20.4","30.7","33.1","28.5","28.3","30.4","26.4"
"Ghana","2013","4.9","9.8","0.4","3.9","8.0","0.1","6.3","12.4","0.5","4.4","9.0","0.1"
"Greece","2013","35.2","45.8","25.1","29.7","37.6","22.1","43.4","53.8","33.5","36.5","45.0","28.4"
"Grenada","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guatemala","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guinea","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guinea-Bissau","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Guyana","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Haiti","2013","8.6","15.6","2.0","4.8","8.9","1.0","11.8","21.5","2.7","9.8","17.8","2.3"
"Honduras","2013","11.1","21.1","1.4","9.9","18.8","1.1","18.9","35.9","2.3","13.8","26.1","1.8"
"Hungary","2013","25.1","28.9","21.7","22.1","25.2","19.4","29.6","33.6","26.0","24.1","27.8","20.7"
"Iceland","2013","13.1","13.1","13.1","11.5","12.4","10.7","17.5","18.6","16.3","13.4","14.2","12.7"
"India","2013","10.7","19.1","1.9","3.1","5.6","0.6","12.4","21.9","2.3","5.2","9.4","0.8"
"Indonesia","2013","33.1","63.9","2.4","30.8","59.4","2.3","38.5","73.3","3.8","33.2","63.0","3.5"
"Iran (Islamic Republic of)","2013","10.4","20.0","0.8","5.6","10.8","0.4","11.7","22.4","1.0","7.8","15.0","0.6"
"Iraq","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Ireland","2013","19.2","19.0","19.4","19.2","19.0","19.4","23.2","23.6","22.9","23.2","23.6","22.9"
"Israel","2013","23.3","31.9","15.0","21.6","30.3","13.4","30.4","41.5","19.8","25.1","34.3","16.4"
"Italy","2013","22.0","26.1","18.3","21.1","24.5","18.1","24.2","28.8","19.9","23.2","27.5","19.3"
"Jamaica","2013","13.0","21.8","4.7","9.3","15.3","3.5","17.6","29.7","6.2","14.7","24.8","5.2"
"Japan","2013","18.1","28.6","8.4","18.1","28.6","8.4","22.8","35.4","11.0","22.8","35.4","11.0"
"Jordan","2013","31.0","54.0","7.2","22.0","41.2","2.1","38.4","65.5","10.2","33.2","56.8","8.6"
"Kazakhstan","2013","17.4","30.3","5.9","16.1","27.6","5.9","26.3","45.3","9.5","24.2","42.2","8.1"
"Kenya","2013","9.8","18.5","1.2","8.7","17.1","0.6","13.6","25.1","2.2","10.2","20.0","0.6"
"Kiribati","2013","45.6","56.8","34.7","24.2","29.9","18.8","54.0","66.2","42.2","41.5","51.8","31.6"
"Kuwait","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Kyrgyzstan","2013","20.9","40.1","2.7","19.9","38.4","2.5","26.4","50.5","3.7","23.1","44.5","2.9"
"Lao People's Democratic Republic","2013","29.0","50.7","8.0","23.6","42.7","5.3","34.0","58.7","10.1","27.4","47.5","8.2"
"Latvia","2013","30.0","44.4","18.3","26.8","38.2","17.6","35.9","50.0","24.4","29.1","40.3","20.0"
"Lebanon","2013","28.7","36.0","21.1","16.9","27.4","6.1","37.0","43.9","29.9","30.7","37.0","24.2"
"Lesotho","2013","19.9","40.4","0.3","14.9","30.3","0.2","25.4","51.7","0.4","18.3","37.3","0.2"
"Liberia","2013","11.2","20.5","1.9","7.5","14.5","0.6","14.2","25.9","2.6","10.0","19.3","0.7"
"Libya","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Lithuania","2013","23.6","34.1","14.9","18.9","26.2","13.0","30.1","39.8","22.2","24.6","32.8","17.8"
"Luxembourg","2013","18.8","20.2","17.3","15.8","17.0","14.6","24.4","26.8","22.0","20.1","22.3","17.9"
"Madagascar","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Malawi","2013","11.9","20.1","3.8","9.7","18.1","1.2","16.3","26.3","6.4","11.7","22.4","1.2"
"Malaysia","2013","18.2","36.5","1.1","16.1","32.4","0.9","22.3","44.4","1.5","18.0","36.0","1.2"
"Maldives","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Mali","2013","14.9","27.5","2.5","8.5","16.5","0.6","18.6","33.9","3.3","13.2","25.5","1.1"
"Malta","2013","20.7","25.3","16.1","18.3","22.4","14.2","25.9","30.9","20.9","21.0","25.3","16.8"
"Marshall Islands","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Mauritania","2013","19.0","35.1","2.9","8.7","16.5","0.9","22.3","40.6","3.9","14.9","28.7","1.0"
"Mauritius","2013","16.0","31.0","1.6","14.5","28.4","1.2","21.9","41.0","3.4","19.6","36.8","3.0"
"Mexico","2013","8.3","13.1","4.0","8.0","12.6","3.8","14.5","22.5","7.3","13.3","20.7","6.6"
"Micronesia (Federated States of)","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Monaco","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Mongolia","2013","22.7","41.6","4.5","20.2","36.9","4.1","26.8","48.7","5.6","21.7","39.5","4.5"
"Montenegro","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Morocco","2013","17.9","35.8","0.9","14.1","28.4","0.5","22.0","43.6","1.6","18.5","36.8","1.0"
"Mozambique","2013","13.4","23.7","3.9","10.5","20.3","1.5","18.8","32.7","6.1","12.8","24.8","1.8"
"Myanmar","2013","15.8","27.1","5.5","10.0","16.8","3.8","20.0","33.9","7.2","16.2","27.4","5.9"
"Namibia","2013","18.9","29.8","8.9","12.3","20.4","4.9","23.8","37.0","11.7","15.6","25.7","6.5"
"Nauru","2013","39.8","36.8","42.8","28.0","26.0","30.0","48.9","44.3","53.5","38.2","35.8","40.6"
"Nepal","2013","18.1","27.7","9.6","16.9","26.4","8.6","24.6","37.9","12.9","20.5","32.1","10.3"
"Netherlands","2013","19.6","20.6","18.6","18.8","20.0","17.7","25.7","27.3","24.2","21.1","22.4","19.8"
"New Zealand","2013","15.5","16.4","14.7","15.1","15.9","14.3","17.6","18.5","16.7","16.7","17.6","15.9"
"Nicaragua","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Niger","2013","6.0","11.8","0.2","5.6","11.3","0.0","8.4","16.7","0.2","6.3","12.6","0.0"
"Nigeria","2013","7.0","13.0","0.9","4.8","9.2","0.2","8.9","16.4","1.2","5.7","10.9","0.3"
"Niue","2013","11.7","15.6","7.9","9.3","12.1","6.5","16.6","21.5","11.8","13.9","18.1","9.8"
"Norway","2013","17.2","17.2","17.2","14.7","14.5","15.0","24.1","24.3","23.9","18.9","18.9","18.9"
"Oman","2013","10.9","15.8","0.7","8.2","12.1","0.2","13.5","19.5","1.0","10.5","15.3","0.5"
"Pakistan","2013","18.6","33.8","2.8","11.6","21.6","1.1","22.6","41.0","3.4","14.1","26.0","1.6"
"Palau","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Panama","2013","3.9","6.2","1.5","3.4","5.6","1.3","7.4","11.9","2.8","6.4","10.4","2.4"
"Papua New Guinea","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Paraguay","2013","11.9","18.6","5.1","9.9","16.0","3.7","19.5","30.3","8.6","15.6","24.2","7.0"
"Peru","2013","Not available","Not available","4.3","Not available","Not available","2.2","Not available","Not available","6.3","Not available","Not available","5.3"
"Philippines","2013","20.6","35.0","6.4","18.6","31.5","5.9","26.7","44.8","8.9","23.8","40.6","7.4"
"Poland","2013","23.2","27.9","18.9","22.6","27.1","18.4","29.4","34.0","25.2","26.8","31.3","22.8"
"Portugal","2013","17.7","26.1","10.0","15.2","22.2","8.6","22.6","31.9","14.0","18.5","26.2","11.3"
"Qatar","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Republic of Korea","2013","25.7","48.5","3.5","25.7","48.5","3.5","27.4","51.1","4.3","27.4","51.1","4.3"
"Republic of Moldova","2013","20.1","38.1","4.3","17.9","34.0","3.8","23.8","44.8","5.4","21.6","40.7","4.8"
"Romania","2013","25.7","33.4","18.6","23.8","30.4","17.7","30.5","38.5","23.1","26.7","34.1","19.8"
"Russian Federation","2013","33.4","51.9","18.1","31.0","48.2","16.8","39.5","59.8","22.7","36.1","55.0","20.6"
"Rwanda","2013","Not available","Not available","4.1","Not available","Not available","1.0","Not available","Not available","5.6","Not available","Not available","1.1"
"Saint Kitts and Nevis","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Saint Lucia","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Saint Vincent and the Grenadines","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Samoa","2013","24.4","34.0","14.1","21.5","29.7","12.8","32.0","43.5","19.8","25.0","34.0","15.5"
"San Marino","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Sao Tome and Principe","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Saudi Arabia","2013","14.5","23.1","1.8","10.2","16.8","0.6","17.1","26.8","3.0","12.9","20.2","2.2"
"Senegal","2013","9.5","19.2","0.6","6.8","14.1","0.2","11.1","22.4","0.8","7.7","15.9","0.2"
"Serbia","2013","33.5","36.4","30.8","31.1","33.6","28.7","42.1","44.6","39.7","33.8","36.3","31.4"
"Seychelles","2013","20.7","34.3","6.6","15.7","27.7","3.1","26.7","43.7","9.0","20.3","34.7","5.5"
"Sierra Leone","2013","25.7","43.4","8.5","20.6","38.5","3.2","34.4","56.4","12.9","23.5","43.0","4.5"
"Singapore","2013","13.2","23.1","3.6","12.4","21.8","3.5","16.2","27.8","5.2","14.5","24.8","4.5"
"Slovakia","2013","22.0","31.8","12.9","18.8","27.5","10.8","28.8","40.4","18.0","23.7","33.4","14.6"
"Slovenia","2013","17.7","20.0","15.4","14.9","16.8","12.9","20.9","23.2","18.7","17.1","19.3","14.8"
"Solomon Islands","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Somalia","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"South Africa","2013","16.1","27.1","6.0","11.7","20.3","3.9","18.9","31.9","7.0","13.3","24.0","3.6"
"South Sudan","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Spain","2013","25.7","28.2","23.2","23.0","25.0","21.1","30.3","33.0","27.8","26.7","29.1","24.3"
"Sri Lanka","2013","10.9","22.2","0.3","7.5","15.3","0.1","14.1","28.8","0.4","9.8","20.1","0.2"
"Sudan","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Suriname","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Sweden","2013","11.8","10.6","13.0","11.8","10.6","13.0","21.9","21.7","22.1","16.8","16.6","17.1"
"Switzerland","2013","19.5","21.5","17.6","19.1","20.8","17.5","24.1","27.7","20.6","23.5","27.1","20.1"
"Syrian Arab Republic","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Tajikistan","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Thailand","2013","18.2","35.7","1.8","17.4","34.2","1.6","21.5","41.9","2.4","20.5","39.9","2.2"
"Republic of North Macedonia","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Timor-Leste","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Togo","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Tonga","2013","25.8","41.6","10.6","19.7","31.1","8.7","30.2","47.9","13.1","23.8","38.0","10.2"
"Trinidad and Tobago","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Tunisia","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Turkey","2013","22.4","35.7","9.9","21.4","33.9","9.6","27.0","41.6","13.2","24.7","38.1","12.0"
"Turkmenistan","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Tuvalu","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Uganda","2013","6.6","11.5","1.8","5.3","9.9","0.8","10.3","17.5","3.1","8.0","15.0","0.9"
"Ukraine","2013","25.4","44.2","9.9","24.1","42.2","9.1","30.7","50.6","14.3","28.3","46.9","13.0"
"United Arab Emirates","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"United Kingdom of Great Britain and Northern Ireland","2013","20.3","21.1","19.5","20.3","21.1","19.5","20.3","21.1","19.5","20.3","21.1","19.5"
"United Republic of Tanzania","2013","11.9","21.4","2.4","10.0","19.2","0.8","16.3","28.8","3.9","11.4","22.1","0.8"
"United States of America","2013","14.3","16.1","12.6","14.3","16.1","12.6","18.1","20.3","15.9","18.1","20.3","15.9"
"Uruguay","2013","18.9","22.3","15.7","17.6","20.8","14.6","24.8","28.8","21.1","22.1","25.9","18.6"
"Uzbekistan","2013","10.4","20.1","1.0","8.5","16.5","0.8","13.3","25.6","1.3","11.0","21.3","1.0"
"Vanuatu","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Venezuela (Bolivarian Republic of)","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Viet Nam","2013","19.2","38.4","1.0","14.3","28.6","0.8","23.7","47.3","1.3","18.7","37.4","1.0"
"Yemen","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Zambia","2013","10.5","17.8","3.2","8.2","15.4","1.0","15.9","27.1","4.7","12.5","23.9","1.2"
"Zimbabwe","2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
