,"Name of survey of adults","Representativeness of survey of adults","Adult survey age range","Adult indicator 1 definition","Adult indicator 1 rate","Adult indicator 1 rate","Adult indicator 1 rate","Adult indicator 2 definition","Adult indicator 2 rate","Adult indicator 2 rate","Adult indicator 2 rate"
"Lebanon","Lebanese National Tobacco Control Program survey","National","18+","Current tobacco smoking","Not available","43.0","34.0","Current cigarette smoking","Not available","32.0","21.0"
"Lesotho","Lesotho STEPS","National","25-64","Current tobacco smoking","24.5","48.7","0.7","Daily tobacco smoking","20.4","40.6","0.5"
"Liberia","Liberia STEPS","National","25-64","Current tobacco smoking","9.9","17.2","2.8","Daily tobacco smoking","7.5","13.9","1.3"
"Libya","Libya STEPS Survey","National","25-64","Current tobacco smoking","Not available","49.6","0.8","Daily tobacco smoking","Not available","47.6","0.1"
"Lithuania","Health Behaviour among Lithuanian Adult Population","National","20-64","Current tobacco smoking","26.1","38.6","17.6","Daily tobacco smoking","20.5","32.7","12.3"
"Luxembourg","Les habitudes tabagiques au Luxembourg","National","15+","Current tobacco smoking","21.0","24.0","18.0","Daily tobacco smoking","15.0","Not available","Not available"
"Madagascar","Madagascar Demographic and Health Survey","National","15-59","Current tobacco use","Not available","48.9","21.1","Current tobacco smoking","Not available","28.5","0.8"
"Malawi","Malawi Demographic and Health Survey","National","15-59","Current tobacco use","Not available","18.0","1.2","Daily cigarette smoking","Not available","16.8","0.1"
"Malaysia","Global Adult Tobacco Survey (GATS)","National","15+","Current tobacco smoking","23.1","43.9","1.0","Daily tobacco smoking","20.9","39.9","0.7"
"Maldives"," STEPS Survey of NCD Risk Factors","Subnational","15-64","Current tobacco smoking","18.8","34.7","3.4","Daily tobacco smoking","15.5","29.1","2.2"
"Mali","Enquete STEPS","National","15-64","Current cigarette smoking","10.8","24.5","2.7","Daily cigarette smoking","9.1","21.6","1.7"
"Malta","The European Health Interview survey (EHIS)","National","15-98","Current tobacco smoking","Not available","30.9","21.4","Daily tobacco smoking","Not available","25.4","15.8"
"Marshall Islands","NCD Risk Factors STEPS Survey","National","15-64","Current tobacco smoking","23.1","39.5","6.0","Daily tobacco smoking","19.8","34.7","4.2"
"Mauritania","Enquetesur les Maladies non Transmissibles selon l'approche STEPwise de l'OMS","National","15-64","Current tobacco smoking","18.9","34.1","5.7","Daily tobacco smoking","17.8","32.7","4.8"
"Mauritius","Mauritius Non Communicable Disease Survey","National","19-75","Current tobacco smoking","21.7","40.3","3.7","Current cigarette smoking","21.7","40.3","3.7"
"Mexico","Encuesta Nacional de Salud y Nutricion (ENSANUT)","National","20+","Current tobacco smoking","19.9","31.0","9.9","Daily tobacco smoking","11.8","Not available","Not available"
"Micronesia (Federated States of)","National Outcome Measures Survey","National","12-98","Current cigarette smoking","62.4","69.1","46.9","Daily cigarette smoking","35.4","39.8","25.4"
"Monaco","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Mongolia","Mongolia STEPS survey on the Prevalence of NCD risk factors","National","15-64","Current tobacco smoking","Not available","49.1","5.3","Daily tobacco smoking","Not available","45.4","4.5"
"Montenegro","Living Standards Measurement Survey, LSMS","National","20+","Current tobacco smoking","31.0","35.0","27.0","Not available","Not available","Not available","Not available"
"Morocco","MARTA","National","15-74","Current tobacco smoking","18.0","31.5","3.3","Daily tobacco smoking","15.1","30.3","0.2"
"Mozambique","Inquerito Demografico e saude de Mocambique","National","15-64","Current tobacco use","Not available","21.9","2.9","Daily cigarette smoking","Not available","18.7","Not available"
"Myanmar","WHO STEPS Chronic Disease Risk Factor Surveillance - Myanmar","National","15-64","Current tobacco smoking","22.0","44.8","7.8","Daily tobacco smoking","16.7","33.6","6.1"
"Namibia","Namibia Demographic and Health Survey","National","15-49","Current tobacco use","Not available","20.1","5.1","Daily cigarette smoking","Not available","17.6","Not available"
"Nauru","Nauru NCD risk factors STEPS","National","15-64","Current tobacco smoking","52.9","49.7","56.0","Daily tobacco smoking","48.2","45.5","50.8"
"Nepal","NCD Risk Factors STEPS Survey Nepal","National","15-69","Current tobacco smoking","Not available","27.0","10.3","Daily tobacco smoking","Not available","22.2","9.6"
"Netherlands","The Dutch Continuous Survey of Smoking Habits","National","15+","Current tobacco smoking","25.0","26.0","25.0","Daily tobacco smoking","19.0","19.0","19.0"
"New Zealand","New Zealand Health Survey","National","15+","Current tobacco smoking","20.1","18.4","17.6","Daily tobacco smoking","15.5","16.2","14.9"
"Nicaragua","Encuesta Nicaraguense de Demograf�ca y Salud","National","15-49","Current cigarette smoking","Not available","Not available","5.2","Daily cigarette smoking","Not available","Not available","4.3"
"Niger","Enquete Demographique et de Sante et  Indicateurs Multiples au Niger","National","15-59","Current tobacco use","Not available","17.7","2.4","Daily cigarette smoking","Not available","13.9","Not available"
"Nigeria","Global Adult Tobacco Survey, Nigeria","National","15+","Current tobacco smoking","3.9","7.3","0.4","Daily tobacco smoking","2.9","5.6","0.3"
"Niue","Niue STEPS","National","15+","Current tobacco smoking","17.7","22.6","13.0","Daily tobacco smoking","11.6","15.8","7.6"
"Norway","Statistics Norway Smoking Habits Survey (Reise- og ferieunders�kelse)","National","16-74","Current tobacco smoking","22.0","25.0","21.0","Daily tobacco smoking","13.0","14.0","13.0"
"Oman","World Health Survey","National","18+","Current tobacco smoking","8.6","16.6","0.7","Daily tobacco smoking","7.3","14.3","0.3"
"Pakistan","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","12.4","22.2","2.1","Daily tobacco smoking","11.5","20.6","2.0"
"Palau","STEPS Survey","National","25-64","Current tobacco smoking","16.6","24.0","8.4","Daily tobacco smoking","13.3","20.2","5.8"
"Panama","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","6.1","9.4","2.8","Daily tobacco smoking","2.8","4.4","1.2"
"Papua New Guinea","Household Income & Expenditure Survey (HIES)","National","0-+","Current tobacco smoking","26.3","37.3","14.5","Not available","Not available","Not available","Not available"
"Paraguay","Encuesta Nacional de Factores de Riesgo de Paraguay (STEPS)","National","15-74","Current tobacco smoking","14.5","22.8","6.1","Daily tobacco smoking","10.9","17.4","4.2"
"Peru","Encuesta Nacional de Consumo de Drogas en Poblacion General de Peru","National","12-65","Current tobacco smoking","13.3","19.7","7.8","Not available","Not available","Not available","Not available"
"Philippines","National Nutrition Survey","National","20+","Current tobacco smoking","25.4","44.7","7.8","Not available","Not available","Not available","Not available"
"Poland","TNS Polska Survey","National","15+","Current cigarette smoking","26.0","30.0","23.0","Daily cigarette smoking","22.0","27.0","18.0"
"Portugal","Inquerito Nacional ao Consumo de Substancias Psicoactivas na Populacao Portuguesa ","National","15-64","Current tobacco smoking","26.3","35.1","18.0","Not available","Not available","Not available","Not available"
"Qatar","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","12.1","20.2","3.1","Daily tobacco smoking","9.5","16.5","1.7"
"Republic of Korea","Korea National Health and Nutrition Examination Survey","National","19+","Current cigarette smoking","24.1","42.1","6.2","Daily cigarette smoking","21.4","38.1","4.6"
"Republic of Moldova","Moldova STEPS","National","25-69","Current tobacco smoking","25.3","43.6","5.6","Daily tobacco smoking","23.3","40.6","4.6"
"Romania","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","26.7","37.4","16.7","Daily tobacco smoking","24.3","34.9","14.5"
"Russian Federation","Health in Times of Transition Study","National","18+","Current tobacco smoking","Not available","53.3","16.1","Current cigarette smoking","Not available","53.3","16.1"
"Rwanda","Rwanda STEPS","National","15-64","Current tobacco smoking","Not available","19.2","7.2","Daily tobacco smoking","Not available","14.0","4.2"
"Saint Kitts and Nevis","St Kitts STEPS Survey","National","25-64","Current tobacco smoking","8.7","16.2","1.1","Daily tobacco smoking","6.1","11.4","0.7"
"Saint Lucia","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Saint Vincent and the Grenadines","National Health and Nutrition Survey","National","18-69","Current tobacco smoking","12.2","21.9","2.5","Daily tobacco smoking","6.9","12.7","1.3"
"Samoa","Samoa STEPS","National","18-64","Current tobacco smoking","Not available","36.5","13.7","Daily tobacco smoking","Not available","33.4","12.2"
"San Marino","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Sao Tome and Principe","Sao Tome et Principe EnqueteSTEPS","National","25-64","Current tobacco smoking","5.5","9.7","1.7","Daily tobacco smoking","3.5","6.5","0.8"
"Saudi Arabia","Saudi Health Information Survey","National","15+","Current tobacco smoking","12.2","23.7","1.5","Not available","Not available","Not available","Not available"
"Senegal","Enquete Demographique et de Sante  Indicateurs Multiples (EDS-MICS)","National","15-49","Current cigarette smoking","Not available","14.3","0.2","Daily cigarette smoking","Not available","14.0","Not available"
"Serbia","National Health Survey Serbia","National","15+","Current tobacco smoking","34.7","37.9","31.6","Daily tobacco smoking","29.2","32.6","25.9"
"Seychelles","The Seychelles Heart Study IV","National","25-64","Current tobacco smoking","Not available","35.3","9.0","Daily tobacco smoking","Not available","28.8","5.8"
"Sierra Leone","The Prevalence of the Common Risk Factors of Non-Communicable Diseases in Sierra Leone","National","25-64","Current tobacco smoking","25.8","43.1","10.5","Daily tobacco smoking","22.5","39.5","7.5"
"Singapore","National Health Surveillance Survey","National","18-69","Current cigarette smoking","15.0","25.4","4.8","Daily cigarette smoking","13.3","23.1","3.8"
"Slovakia","National population study on drug consumption (NMCD)","National","15-64","Current tobacco smoking","34.9","43.5","26.3","Not available","Not available","Not available","Not available"
"Slovenia","CINDI Health Monitor Survey","National","25-64","Current tobacco smoking","22.6","24.8","20.3","Not available","Not available","Not available","Not available"
"Solomon Islands","Solomon Islands NCD Risk Factors STEPS Survey","National","15-64","Current tobacco smoking","41.4","56.1","26.1","Daily tobacco smoking","29.7","43.4","15.3"
"Somalia","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"South Africa","National Health and Nutrition Examination Survey","National","15+","Current cigarette smoking","18.2","29.4","8.2","Daily cigarette smoking","16.2","26.5","6.9"
"South Sudan","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Spain","Encuesta Nacional de Salud","National","15+","Current tobacco smoking","27.0","31.4","22.8","Daily tobacco smoking","24.0","27.9","20.2"
"Sri Lanka","Sri Lanka STEPS Survey","National","15-64","Current tobacco smoking","15.0","29.9","0.4","Daily tobacco smoking","11.4","22.8","0.3"
"Sudan","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Suriname","STEPS Survey","National","25-65","Current cigarette smoking","20.0","34.0","6.6","Not available","Not available","Not available","Not available"
"Sweden","Nationella folkhalsoenkaten (National Survey on Public Health)","National","16-84","Current tobacco smoking","21.0","23.0","20.0","Daily tobacco smoking","11.0","11.0","11.0"
"Switzerland","Addiction Monitoring survey","National","15+","Current tobacco smoking","25.0","29.7","20.6","Daily tobacco smoking","17.6","21.1","14.3"
"Syrian Arab Republic","National Survey on non-communicable diseases and factors affecting their development","National","15-65","Daily tobacco smoking","24.7","48.0","8.9","Not available","Not available","Not available","Not available"
"Tajikistan","Demographic and Health Survey","National","15-49","Current cigarette smoking","Not available","Not available","0.2","Daily cigarette smoking","Not available","Not available","0.2"
"Thailand","National Statistics Office Health and Welfare Survey","National","15+","Current tobacco smoking","19.9","39.0","2.1","Daily tobacco smoking","16.6","32.7","1.6"
"Republic of North Macedonia","National Household Survey","National","65+","Current tobacco smoking","22.1","Not available","Not available","Not available","Not available","Not available","Not available"
"Timor-Leste","Timor-Leste Demographic and Health Survey","National","15-49","Current tobacco use","Not available","69.5","4.7","Daily cigarette smoking","Not available","65.2","1.4"
"Togo","Enquete STEPS au Togo sur les facteurs de risque des maladies non transmissibles","National","15-64","Current tobacco smoking","6.8","12.4","1.8","Daily tobacco smoking","4.8","9.1","1.0"
"Tonga","Tonga STEPS","National","25-64","Current tobacco smoking","Not available","46.4","13.4","Daily tobacco smoking","Not available","42.1","12.4"
"Trinidad and Tobago","Pan American STEPS Noncommunicable Diseases and Risk Factors Survey","National","15-64","Current tobacco smoking","21.1","33.5","9.4","Daily tobacco smoking","18.0","29.1","7.7"
"Tunisia","Enquetenationale morbidite et recours aux soins","National","35-70","Current tobacco smoking","24.9","48.4","8.2","Daily tobacco smoking","23.7","48.3","7.7"
"Turkey","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","27.1","41.4","13.1","Daily tobacco smoking","23.8","37.3","10.7"
"Turkmenistan","Turkmenistan STEPS","National","18-64","Current tobacco smoking","8.3","15.5","0.6","Daily tobacco smoking","6.3","11.5","0.5"
"Tuvalu","Population and Housing Census","National","15+","Current cigarette smoking","37.9","54.6","22.7","Not available","Not available","Not available","Not available"
"Uganda","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","5.8","10.3","1.8","Daily tobacco smoking","4.8","8.6","1.3"
"Ukraine","Annual household survey conducted by the National Statistic Service","National","18+","Current tobacco smoking","Not available","48.0","12.8","Daily tobacco smoking","Not available","45.0","11.0"
"United Arab Emirates","World Health Survey, United Arab Emirates","National","18+","Current tobacco smoking","20.5","28.1","2.4","Daily tobacco smoking","12.8","17.6","1.4"
"United Kingdom of Great Britain and Northern Ireland","Opinions and Lifestyle Survey, Adult Smoking Habits in Great Britain","National","16+","Current cigarette smoking","19.2","21.6","16.8","Not available","Not available","Not available","Not available"
"United Republic of Tanzania","Tanzania STEPS","National","25-64","Current tobacco smoking","14.1","26.0","2.9","Daily tobacco smoking","11.8","22.2","2.0"
"United States of America","National Health Interview Survey (NHIS)","National","18+","Current cigarette smoking","17.8","20.5","15.3","Not available","Not available","Not available","Not available"
"Uruguay","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","25.0","30.7","19.8","Daily tobacco smoking","20.4","24.8","16.4"
"Uzbekistan","Social Research Center population survey of tobacco consumption practices","National","15+","Current cigarette smoking","10.5","20.0","1.1","Daily cigarette smoking","8.2","15.5","1.0"
"Vanuatu","STEPS","National","25-64","Current tobacco smoking","52.5","62.3","20.2","Daily tobacco smoking","27.5","33.5","7.8"
"Venezuela (Bolivarian Republic of)","Estudio Nacional de Drogas en Poblacion General","National","18-65","Current tobacco use","21.5","28.9","14.4","Daily cigarette smoking","13.1","17.0","9.4"
"Viet Nam","Global Adult Tobacco Survey","National","15+","Current tobacco smoking","23.8","47.4","1.4","Daily tobacco smoking","19.5","38.7","1.2"
"Yemen","National Health and Demographic Survey","National","10+","Current tobacco smoking","13.3","20.7","6.0","Not available","Not available","Not available","Not available"
"Zambia","Zambia Demographic and Health Survey","National","15-59","Current tobacco use","Not available","24.3","1.8","Daily cigarette smoking","Not available","22.2","0.4"
"Zimbabwe","Zimbabwe Demographic and Health Survey","National","15-54","Current tobacco use","Not available","22.9","0.5","Daily cigarette smoking","Not available","20.2","Not available"
